match_id,innings_no,over_id,ball_id,striker_batting_position,runs_scored,extra_runs,out_type,striker,non_striker,bowler
598019,2,17,3,2,1,0,Not Applicable,85,351,67
598019,2,17,5,6,0,0,Not Applicable,351,85,67
598019,2,17,6,6,1,0,Not Applicable,351,85,67
598019,2,15,1,2,1,0,Not Applicable,85,351,67
598019,2,15,3,6,1,0,Not Applicable,351,85,67
598019,2,15,5,2,1,0,Not Applicable,85,351,67
598019,2,15,6,6,1,0,Not Applicable,351,85,67
598019,2,13,1,2,0,0,Not Applicable,85,104,67
598019,2,13,3,5,1,0,Not Applicable,104,85,67
598019,2,13,5,5,0,0,lbw,104,85,67
598019,2,13,6,6,0,0,Not Applicable,351,85,67
598019,2,11,1,2,0,0,Not Applicable,85,104,188
598019,2,11,3,2,1,0,Not Applicable,85,104,188
598019,2,11,5,5,0,0,Not Applicable,104,85,188
598019,2,11,6,5,0,0,Not Applicable,104,85,188
598019,2,19,1,6,0,0,Not Applicable,351,85,188
598019,2,19,3,6,0,0,Not Applicable,351,85,188
598019,2,19,5,2,0,0,Not Applicable,85,351,188
598019,2,19,6,2,0,0,Not Applicable,85,351,188
598019,2,20,1,6,2,0,Not Applicable,351,85,67
598057,2,19,1,4,6,0,Not Applicable,351,85,120
598057,2,19,3,4,1,0,Not Applicable,351,85,120
598057,2,19,5,2,1,0,Not Applicable,85,351,120
598057,2,19,6,4,4,0,Not Applicable,351,85,120
598057,2,17,1,4,4,0,Not Applicable,351,85,333
598057,2,17,3,2,0,0,Not Applicable,85,351,333
598057,2,17,5,2,2,0,Not Applicable,85,351,333
598057,2,17,6,2,6,0,Not Applicable,85,351,333
598057,2,15,1,4,0,0,Not Applicable,351,85,228
598057,2,15,3,4,4,0,Not Applicable,351,85,228
598057,2,15,5,2,1,0,Not Applicable,85,351,228
598057,2,15,6,4,1,0,Not Applicable,351,85,228
598057,2,13,1,4,1,0,Not Applicable,351,85,228
598057,2,13,3,4,0,0,Not Applicable,351,85,228
598057,2,13,5,4,0,0,Not Applicable,351,85,228
598057,2,13,6,4,1,0,Not Applicable,351,85,228
598057,2,11,1,2,0,1,Not Applicable,85,351,333
598057,2,11,3,2,0,0,Not Applicable,85,351,333
598057,2,11,5,4,1,0,Not Applicable,351,85,333
598057,2,11,6,2,2,0,Not Applicable,85,351,333
598057,2,11,7,2,2,0,Not Applicable,85,351,333
598057,2,9,1,2,0,0,Not Applicable,85,32,120
598057,2,9,3,3,1,0,Not Applicable,32,85,120
598057,2,9,5,2,0,0,Not Applicable,85,32,120
598057,2,9,6,2,6,0,Not Applicable,85,32,120
598057,2,7,1,3,6,0,Not Applicable,32,85,228
598057,2,7,3,3,1,0,Not Applicable,32,85,228
598057,2,7,5,2,1,0,Not Applicable,85,32,228
598057,2,7,6,3,1,0,Not Applicable,32,85,228
598057,2,5,1,3,0,0,Not Applicable,32,85,333
598057,2,5,3,2,1,0,Not Applicable,85,32,333
598057,2,5,5,3,1,0,Not Applicable,32,85,333
598057,2,5,6,2,4,0,Not Applicable,85,32,333
598057,2,3,1,3,1,0,Not Applicable,32,85,333
598057,2,3,3,2,0,0,Not Applicable,85,32,333
598057,2,3,5,2,1,0,Not Applicable,85,32,333
598057,2,3,6,3,0,0,Not Applicable,32,85,333
598057,2,1,1,1,0,0,Not Applicable,6,85,14
598057,2,1,3,1,0,0,Not Applicable,6,85,14
598057,2,1,5,1,0,0,Not Applicable,6,85,14
598057,2,1,6,1,0,0,Not Applicable,6,85,14
598077,1,19,1,8,4,0,Not Applicable,277,104,356
598077,1,19,3,6,1,0,Not Applicable,104,277,356
598077,1,19,5,6,4,0,Not Applicable,104,277,356
598077,1,19,6,6,0,4,Not Applicable,104,277,356
598077,1,20,1,8,1,0,Not Applicable,277,104,194
598077,1,20,3,8,0,0,Not Applicable,277,104,194
598077,1,20,5,8,0,1,Not Applicable,277,104,194
598077,1,20,6,8,0,2,Not Applicable,277,104,194
598077,1,20,7,6,4,0,Not Applicable,104,277,194
598077,1,20,9,6,0,0,Not Applicable,104,277,194
598077,1,15,1,5,1,0,Not Applicable,255,104,356
598077,1,15,3,6,0,0,Not Applicable,104,255,356
598077,1,15,5,5,0,0,Not Applicable,255,104,356
598077,1,15,6,5,1,0,Not Applicable,255,104,356
598077,1,17,1,8,1,0,Not Applicable,277,104,356
598077,1,17,3,8,4,0,Not Applicable,277,104,356
598077,1,17,5,6,1,0,Not Applicable,104,277,356
598077,1,17,6,8,1,0,Not Applicable,277,104,356
598077,1,1,1,1,0,0,Not Applicable,6,85,357
598077,1,1,3,1,0,0,Not Applicable,6,85,357
598077,1,1,5,1,0,0,Not Applicable,6,85,357
598077,1,1,6,1,0,0,Not Applicable,6,85,357
598077,1,3,1,2,1,0,Not Applicable,85,6,357
598077,1,3,3,1,0,0,Not Applicable,6,85,357
598077,1,3,5,1,4,0,Not Applicable,6,85,357
598077,1,3,6,1,0,0,Not Applicable,6,85,357
598077,1,5,1,2,4,0,Not Applicable,85,6,357
598077,1,5,3,2,0,0,Not Applicable,85,6,357
598077,1,5,5,2,0,0,Not Applicable,85,6,357
598077,1,5,6,2,0,1,Not Applicable,85,6,357
598077,1,5,7,2,1,0,Not Applicable,85,6,357
598077,1,7,1,2,1,0,Not Applicable,85,6,50
598077,1,7,3,2,0,0,bowled,85,6,50
598077,1,7,5,3,0,0,Not Applicable,32,6,50
598077,1,7,6,3,0,0,Not Applicable,32,6,50
598077,1,9,1,3,1,0,Not Applicable,32,6,50
598077,1,9,3,1,1,0,Not Applicable,6,32,50
598077,1,9,5,1,0,0,Not Applicable,6,351,50
598077,1,9,6,1,1,0,Not Applicable,6,351,50
598077,1,11,1,1,1,0,Not Applicable,6,255,50
598077,1,11,3,5,4,0,Not Applicable,255,6,50
598077,1,11,5,5,1,0,Not Applicable,255,6,50
598077,1,11,6,1,2,0,Not Applicable,6,255,50
598077,1,13,1,1,0,0,caught,6,255,50
598077,1,13,3,6,1,0,Not Applicable,104,255,50
598077,1,13,5,5,1,0,Not Applicable,255,104,50
598077,1,13,6,6,1,0,Not Applicable,104,255,50
598077,1,13,7,5,2,0,Not Applicable,255,104,50
1082597,2,20,1,NULL,0,2,Not Applicable,400,50,458
1082597,2,20,3,NULL,0,0,Not Applicable,400,50,458
1082597,2,20,5,NULL,4,0,Not Applicable,400,50,458
1082597,2,19,1,NULL,6,0,Not Applicable,431,400,344
1082597,2,19,3,NULL,0,1,Not Applicable,431,400,344
1082597,2,19,5,NULL,1,0,Not Applicable,50,400,344
1082597,2,19,6,NULL,6,0,Not Applicable,400,50,344
1082597,2,19,7,NULL,1,0,Not Applicable,400,50,344
1082597,2,17,1,NULL,0,0,caught,221,431,479
1082597,2,17,3,NULL,1,0,Not Applicable,400,431,479
1082597,2,17,5,NULL,1,0,Not Applicable,431,400,479
1082597,2,17,6,NULL,4,0,Not Applicable,400,431,479
1082597,2,15,1,NULL,1,0,Not Applicable,431,221,479
1082597,2,15,3,NULL,1,0,Not Applicable,221,431,479
1082597,2,15,5,NULL,1,0,Not Applicable,431,221,479
1082597,2,15,6,NULL,0,0,Not Applicable,221,431,479
1082597,2,13,1,NULL,0,0,Keeper Catch,413,431,344
1082597,2,13,3,NULL,2,0,Not Applicable,221,431,344
1082597,2,13,5,NULL,0,0,Not Applicable,221,431,344
1082597,2,13,6,NULL,0,0,Not Applicable,221,431,344
1082597,2,11,1,NULL,0,0,Not Applicable,431,413,344
1082597,2,11,3,NULL,1,0,Not Applicable,431,413,344
1082597,2,11,5,NULL,4,0,Not Applicable,413,431,344
1082597,2,11,6,NULL,4,0,Not Applicable,413,431,344
1082597,2,9,1,NULL,0,0,Not Applicable,407,431,344
1082597,2,9,3,NULL,0,0,lbw,407,431,344
1082597,2,9,5,NULL,1,0,Not Applicable,57,431,344
1082597,2,9,6,NULL,0,0,Not Applicable,431,57,344
1082597,2,7,1,NULL,2,0,Not Applicable,407,17,315
1082597,2,7,3,NULL,0,0,Not Applicable,407,17,315
1082597,2,7,5,NULL,1,0,Not Applicable,407,17,315
1082597,2,7,6,NULL,0,0,Not Applicable,17,407,315
1082597,2,5,1,NULL,4,0,Not Applicable,17,407,315
1082597,2,5,3,NULL,0,0,Not Applicable,17,407,315
1082597,2,5,5,NULL,1,0,Not Applicable,17,407,315
1082597,2,5,6,NULL,0,0,Not Applicable,407,17,315
1082597,2,3,1,NULL,0,1,Not Applicable,407,17,458
1082597,2,3,3,NULL,1,0,Not Applicable,407,17,458
1082597,2,3,5,NULL,0,0,Not Applicable,17,407,458
1082597,2,3,6,NULL,4,0,Not Applicable,17,407,458
1082597,2,3,7,NULL,2,0,Not Applicable,17,407,458
1082597,2,1,1,NULL,0,0,Not Applicable,17,407,458
1082597,2,1,3,NULL,4,0,Not Applicable,17,407,458
1082597,2,1,5,NULL,1,0,Not Applicable,17,407,458
1082597,2,1,6,NULL,4,0,Not Applicable,407,17,458
1082649,2,1,1,NULL,0,0,Not Applicable,383,17,232
1082649,2,1,3,NULL,1,0,Not Applicable,383,17,232
1082649,2,1,5,NULL,0,4,Not Applicable,17,383,232
1082649,2,1,6,NULL,4,0,Not Applicable,17,383,232
1082649,2,15,1,NULL,0,1,Not Applicable,221,413,232
1082649,2,15,3,NULL,0,0,Not Applicable,413,221,232
1082649,2,13,1,NULL,0,0,Not Applicable,57,413,371
1082649,2,13,3,NULL,1,0,Not Applicable,413,221,371
1082649,2,13,5,NULL,2,0,Not Applicable,221,413,371
1082649,2,13,6,NULL,0,0,Not Applicable,221,413,371
1082649,2,11,1,NULL,1,0,Not Applicable,57,413,67
1082649,2,11,3,NULL,4,0,Not Applicable,413,57,67
1082649,2,11,5,NULL,0,0,Not Applicable,57,413,67
1082649,2,11,6,NULL,6,0,Not Applicable,57,413,67
1082649,2,9,1,NULL,4,0,Not Applicable,57,413,67
1082649,2,9,3,NULL,0,0,Not Applicable,413,57,67
1082649,2,9,5,NULL,1,0,Not Applicable,413,57,67
1082649,2,9,6,NULL,1,0,Not Applicable,57,413,67
1082649,2,7,1,NULL,2,0,Not Applicable,57,413,315
1082649,2,7,3,NULL,0,0,Not Applicable,413,57,315
1082649,2,7,5,NULL,4,0,Not Applicable,413,57,315
1082649,2,7,6,NULL,1,0,Not Applicable,413,57,315
1082649,2,5,1,NULL,0,0,Not Applicable,57,208,315
1082649,2,5,3,NULL,0,0,Not Applicable,208,57,315
1082649,2,5,5,NULL,0,0,Not Applicable,208,57,315
1082649,2,5,6,NULL,1,0,Not Applicable,208,57,315
1082649,2,3,1,NULL,4,0,Not Applicable,17,208,232
1082649,2,3,3,NULL,1,0,Not Applicable,17,208,232
1082649,2,3,5,NULL,0,0,Keeper Catch,17,208,232
1082649,2,3,6,NULL,0,0,Not Applicable,57,208,232
1082629,1,9,1,NULL,1,0,Not Applicable,2,254,258
1082629,1,9,3,NULL,1,0,Not Applicable,254,2,258
1082629,1,9,5,NULL,4,0,Not Applicable,254,2,258
1082629,1,9,6,NULL,1,0,Not Applicable,254,2,258
1082629,1,9,7,NULL,6,0,Not Applicable,2,254,258
1082629,1,7,1,NULL,1,0,Not Applicable,2,21,406
1082629,1,7,3,NULL,1,0,Not Applicable,21,2,406
1082629,1,7,5,NULL,4,0,Not Applicable,2,21,406
1082629,1,7,6,NULL,1,0,Not Applicable,2,21,406
1082629,1,7,7,NULL,1,0,Not Applicable,21,2,406
1082629,1,5,1,NULL,0,0,Not Applicable,2,410,476
1082629,1,5,3,NULL,6,0,Not Applicable,2,410,476
1082629,1,5,5,NULL,0,0,Not Applicable,410,2,476
1082629,1,5,6,NULL,0,0,Not Applicable,410,2,476
1082629,1,3,1,NULL,2,0,Not Applicable,410,2,346
1082629,1,3,3,NULL,1,0,Not Applicable,2,410,346
1082629,1,3,5,NULL,6,0,Not Applicable,410,2,346
1082629,1,3,6,NULL,0,0,Not Applicable,410,2,346
1082629,1,1,1,NULL,0,1,Not Applicable,410,2,346
1082629,1,1,3,NULL,0,0,Not Applicable,2,410,346
1082629,1,1,5,NULL,1,0,Not Applicable,410,2,346
1082629,1,1,6,NULL,4,0,Not Applicable,2,410,346
1082629,1,20,1,NULL,1,0,Not Applicable,477,88,346
1082629,1,20,3,NULL,0,1,Not Applicable,88,477,346
1082629,1,20,5,NULL,0,0,bowled,472,477,346
1082629,1,19,1,NULL,0,0,Not Applicable,477,88,476
1082629,1,19,3,NULL,1,0,Not Applicable,477,88,476
1082629,1,19,5,NULL,4,0,Not Applicable,88,477,476
1082629,1,19,6,NULL,0,0,Not Applicable,88,477,476
1082617,1,1,1,NULL,0,0,Not Applicable,315,40,452
1082617,1,1,3,NULL,4,0,Not Applicable,315,40,452
1082617,1,1,5,NULL,6,0,Not Applicable,315,40,452
1082617,1,1,6,NULL,0,0,Not Applicable,315,40,452
1082617,1,3,1,NULL,0,0,Not Applicable,315,40,270
1082617,1,3,3,NULL,4,0,Not Applicable,40,315,270
1082617,1,3,5,NULL,4,0,Not Applicable,315,40,270
1082617,1,3,6,NULL,4,0,Not Applicable,315,40,270
1082617,1,11,1,NULL,0,0,Not Applicable,308,96,452
598037,2,1,1,1,0,0,Not Applicable,6,85,94
598037,2,1,3,2,0,0,Not Applicable,85,6,94
598037,2,1,5,2,0,0,Not Applicable,85,6,94
598037,2,1,6,2,0,0,Not Applicable,85,6,94
598037,2,3,1,2,0,0,Not Applicable,85,6,94
598037,2,3,3,2,0,0,Keeper Catch,85,6,94
598037,2,3,5,3,0,0,Not Applicable,32,6,94
598037,2,3,6,3,0,0,Not Applicable,32,6,94
598037,2,5,1,3,0,0,Not Applicable,32,6,94
598037,2,5,3,3,1,0,Not Applicable,32,6,94
598037,2,5,5,1,1,0,Not Applicable,6,32,94
598037,2,5,6,3,1,0,Not Applicable,32,6,94
598037,2,5,7,1,0,0,Not Applicable,6,32,94
598037,2,15,1,3,4,0,Not Applicable,32,255,84
598037,2,15,3,3,1,0,Not Applicable,32,255,84
598037,2,15,5,3,4,0,Not Applicable,32,255,84
598037,2,15,6,3,6,0,Not Applicable,32,255,84
598037,2,17,1,4,4,0,Not Applicable,255,32,94
598037,2,17,3,4,1,0,Not Applicable,255,32,94
598037,2,17,5,3,1,0,Not Applicable,32,255,94
598037,2,17,6,4,0,0,Not Applicable,255,32,94
598037,2,7,1,3,4,0,Not Applicable,32,6,280
598037,2,7,3,3,0,0,Not Applicable,32,6,280
598037,2,7,5,3,1,0,Not Applicable,32,6,280
598037,2,7,6,1,1,0,Not Applicable,6,32,280
598037,2,9,1,3,0,0,Not Applicable,32,6,136
598037,2,9,3,3,1,0,Not Applicable,32,6,136
598037,2,9,5,3,0,0,Not Applicable,32,6,136
598037,2,9,6,3,1,0,Not Applicable,32,6,136
598037,2,11,1,1,1,0,Not Applicable,6,32,136
598037,2,11,3,1,6,0,Not Applicable,6,32,136
598037,2,11,5,3,2,0,Not Applicable,32,6,136
598037,2,11,6,3,6,0,Not Applicable,32,6,136
598037,2,13,1,3,0,0,Not Applicable,32,6,280
598037,2,13,3,1,1,0,Not Applicable,6,32,280
598037,2,13,5,1,0,0,caught,6,32,280
598037,2,13,6,3,1,0,Not Applicable,32,255,280
598067,2,17,1,4,2,0,Not Applicable,187,29,109
598067,2,17,3,8,1,0,Not Applicable,29,187,109
598067,2,17,5,9,0,0,Not Applicable,232,29,109
598067,2,17,6,9,6,0,Not Applicable,232,29,109
598067,2,17,7,9,1,0,Not Applicable,232,29,109
598067,2,15,1,4,2,0,Not Applicable,187,177,201
598067,2,15,3,7,1,0,Not Applicable,177,187,201
598067,2,15,5,7,0,0,caught,177,187,201
598067,2,15,6,4,1,0,Not Applicable,187,29,201
598067,2,13,1,4,1,0,Not Applicable,187,177,201
598067,2,13,3,4,1,0,Not Applicable,187,177,201
598067,2,13,5,7,1,0,Not Applicable,177,187,201
598067,2,13,6,4,1,0,Not Applicable,187,177,201
1082647,2,1,1,NULL,0,0,Not Applicable,383,17,346
1082647,2,1,3,NULL,0,0,Not Applicable,383,17,346
1082647,2,1,5,NULL,0,0,Not Applicable,17,383,346
1082647,2,1,6,NULL,0,0,Not Applicable,17,383,346
1082647,2,19,1,NULL,1,0,Not Applicable,375,403,346
1082647,2,19,3,NULL,0,0,Not Applicable,375,403,346
1082647,2,19,5,NULL,1,0,Not Applicable,375,403,346
1082647,2,19,6,NULL,6,0,Not Applicable,403,375,346
1082647,2,20,1,NULL,1,0,Not Applicable,375,403,406
1082647,2,20,3,NULL,0,0,caught,403,375,406
1082647,2,20,5,NULL,1,0,Not Applicable,375,194,406
1082647,2,20,6,NULL,6,0,Not Applicable,194,375,406
1082647,2,3,1,NULL,6,0,Not Applicable,17,383,346
1082647,2,3,3,NULL,1,0,Not Applicable,383,17,346
1082647,2,3,5,NULL,1,0,Not Applicable,17,383,346
1082647,2,3,6,NULL,1,0,Not Applicable,383,17,346
1082647,2,5,1,NULL,4,0,Not Applicable,17,383,406
1082647,2,5,3,NULL,0,0,run out,17,383,406
1082647,2,5,5,NULL,1,0,Not Applicable,57,17,406
1082647,2,5,6,NULL,4,0,Not Applicable,17,57,406
1082647,2,7,1,NULL,0,0,Not Applicable,221,17,483
1082647,2,7,3,NULL,1,0,Not Applicable,17,221,483
1082647,2,7,5,NULL,0,0,Not Applicable,221,17,483
1082647,2,7,6,NULL,4,0,Not Applicable,221,17,483
1082647,2,9,1,NULL,1,0,Not Applicable,17,400,406
1082647,2,9,3,NULL,0,0,Not Applicable,17,400,406
1082647,2,9,5,NULL,1,0,Not Applicable,17,400,406
1082647,2,9,6,NULL,4,0,Not Applicable,400,17,406
1082647,2,11,1,NULL,1,0,Not Applicable,17,400,258
1082647,2,11,3,NULL,1,0,Not Applicable,400,17,258
1082647,2,11,5,NULL,1,0,Not Applicable,400,17,258
1082647,2,11,6,NULL,0,0,Not Applicable,17,400,258
1082647,2,13,1,NULL,1,0,Not Applicable,413,17,497
1082647,2,13,3,NULL,0,0,Not Applicable,413,17,497
1082647,2,13,5,NULL,0,0,Not Applicable,17,413,497
1082647,2,13,6,NULL,1,0,Not Applicable,17,413,497
1082647,2,15,1,NULL,2,0,Not Applicable,17,413,406
1082647,2,15,3,NULL,0,0,caught,413,17,406
1082647,2,15,5,NULL,1,0,Not Applicable,403,17,406
1082647,2,15,6,NULL,0,0,Not Applicable,17,403,406
1082647,2,15,7,NULL,0,0,caught,17,403,406
1082647,2,17,1,NULL,1,0,Not Applicable,166,403,346
1082647,2,17,3,NULL,1,0,Not Applicable,403,166,346
1082647,2,17,5,NULL,1,0,Not Applicable,403,166,346
1082647,2,17,6,NULL,0,0,Keeper Catch,166,403,346
598067,2,11,1,4,0,0,Not Applicable,187,177,71
598067,2,11,3,7,0,4,Not Applicable,177,187,71
598067,2,11,5,4,0,0,Not Applicable,187,177,71
598067,2,11,6,4,2,0,Not Applicable,187,177,71
598067,2,9,1,4,1,0,Not Applicable,187,353,201
598067,2,9,3,4,0,0,Not Applicable,187,353,201
598067,2,9,5,4,1,0,Not Applicable,187,353,201
598067,2,9,6,6,1,0,Not Applicable,353,187,201
598067,2,1,1,1,0,0,Not Applicable,41,262,364
598067,2,1,3,2,0,0,Not Applicable,192,262,364
598067,2,1,5,3,0,0,Not Applicable,262,192,364
598067,2,1,6,3,0,1,Not Applicable,262,192,364
598067,2,1,7,3,4,0,Not Applicable,262,192,364
598067,2,7,1,2,0,0,Not Applicable,192,187,201
598067,2,7,3,2,0,0,caught,192,187,201
598067,2,7,5,4,0,1,Not Applicable,187,237,201
598067,2,7,6,4,1,0,Not Applicable,187,237,201
598067,2,7,7,5,0,0,Not Applicable,237,187,201
598067,2,5,1,3,6,0,Not Applicable,262,192,364
598067,2,5,3,3,0,0,Not Applicable,262,192,364
598067,2,5,5,4,0,0,Not Applicable,187,192,364
598067,2,5,6,4,0,0,Not Applicable,187,192,364
598067,2,3,1,3,4,0,Not Applicable,262,192,364
598067,2,3,3,3,0,0,Not Applicable,262,192,364
598067,2,3,5,2,0,0,Not Applicable,192,262,364
598067,2,3,6,2,0,0,Not Applicable,192,262,364
598067,2,19,1,9,1,0,Not Applicable,232,368,364
598067,2,19,3,11,1,0,Not Applicable,368,232,364
598067,2,19,5,11,0,0,Not Applicable,368,232,364
598067,2,19,6,11,2,0,Not Applicable,368,232,364
598067,2,20,1,9,0,0,Not Applicable,232,368,71
598067,2,20,3,11,0,0,Not Applicable,368,232,71
598067,2,20,5,11,2,0,Not Applicable,368,232,71
598067,2,20,6,11,2,0,Not Applicable,368,232,71
598033,2,5,1,1,1,0,Not Applicable,64,41,14
598033,2,5,3,5,1,0,Not Applicable,41,64,14
598033,2,5,5,1,0,0,Not Applicable,64,41,14
598033,2,5,6,1,0,0,Not Applicable,64,41,14
598033,2,3,1,2,0,0,Not Applicable,262,64,14
598033,2,3,3,2,0,0,Not Applicable,262,64,14
598033,2,3,5,3,0,0,Not Applicable,29,64,14
598033,2,3,6,3,1,0,Not Applicable,29,64,14
598033,2,1,1,1,0,0,Not Applicable,64,262,14
598033,2,1,3,1,0,0,Not Applicable,64,262,14
598033,2,1,5,1,0,0,Not Applicable,64,262,14
598033,2,1,6,1,1,0,Not Applicable,64,262,14
598033,2,13,1,1,1,0,Not Applicable,64,353,333
598033,2,13,3,6,0,0,Not Applicable,353,64,333
598033,2,13,5,6,4,0,Not Applicable,353,64,333
598033,2,13,6,6,1,0,Not Applicable,353,64,333
598033,2,11,1,5,0,0,Not Applicable,41,64,333
598033,2,11,3,5,4,0,Not Applicable,41,64,333
598033,2,11,5,6,0,0,Not Applicable,353,64,333
598033,2,11,6,6,0,0,Not Applicable,353,64,333
598033,2,9,1,1,1,0,Not Applicable,64,41,333
598033,2,9,3,1,2,0,Not Applicable,64,41,333
598033,2,9,5,1,0,0,Not Applicable,64,41,333
598033,2,9,6,1,0,0,Not Applicable,64,41,333
598033,2,7,1,5,4,0,Not Applicable,41,64,321
598033,2,7,3,1,0,1,Not Applicable,64,41,321
598033,2,7,5,1,0,0,Not Applicable,64,41,321
598033,2,7,6,1,0,0,Not Applicable,64,41,321
598033,2,17,1,1,0,0,caught,64,353,367
598033,2,17,3,6,1,0,Not Applicable,353,360,367
598033,2,17,5,7,0,0,Not Applicable,360,353,367
598033,2,17,6,7,4,0,Not Applicable,360,353,367
598033,2,15,1,1,4,0,Not Applicable,64,353,333
598033,2,15,3,6,1,0,Not Applicable,353,64,333
598033,2,15,5,1,0,3,Not Applicable,64,353,333
598033,2,15,6,1,1,0,Not Applicable,64,353,333
598033,2,15,7,6,4,0,Not Applicable,353,64,333
598033,2,19,1,6,6,0,Not Applicable,353,360,321
598033,2,19,3,6,1,0,Not Applicable,353,360,321
598033,2,19,5,6,4,0,Not Applicable,353,360,321
598033,2,19,6,6,1,0,Not Applicable,353,360,321
598033,2,20,1,6,0,0,bowled,353,360,67
598033,2,20,3,8,1,0,Not Applicable,190,360,67
598033,2,20,5,8,6,0,Not Applicable,190,360,67
598033,2,20,6,8,0,0,caught,190,360,67
598011,2,20,5,11,1,0,Not Applicable,232,190,221
598011,2,20,6,9,6,0,Not Applicable,190,232,221
598011,2,5,1,4,4,0,Not Applicable,338,187,357
598011,2,5,3,4,1,0,Not Applicable,338,187,357
598011,2,5,5,3,2,0,Not Applicable,187,338,357
598011,2,5,6,3,0,0,Not Applicable,187,338,357
598011,2,7,1,3,2,0,Not Applicable,187,338,131
598011,2,7,3,4,1,0,Not Applicable,338,187,131
598011,2,7,5,3,0,0,Not Applicable,187,338,131
598011,2,7,6,3,1,0,Not Applicable,187,338,131
598011,2,9,1,4,0,0,Not Applicable,338,187,50
598011,2,9,3,3,1,0,Not Applicable,187,338,50
598011,2,9,5,4,1,0,Not Applicable,338,187,50
598011,2,9,6,3,1,0,Not Applicable,187,338,50
598011,2,11,1,4,1,0,Not Applicable,338,187,357
598011,2,11,3,3,6,0,Not Applicable,187,338,357
598011,2,11,5,4,2,0,Not Applicable,338,348,357
598011,2,11,6,4,0,0,Not Applicable,338,348,357
598011,2,13,1,4,0,1,Not Applicable,338,29,131
598011,2,13,3,6,1,0,Not Applicable,29,338,131
598011,2,13,5,4,0,0,Not Applicable,338,29,131
598011,2,13,6,4,1,0,Not Applicable,338,29,131
598011,2,13,7,6,1,0,Not Applicable,29,338,131
598011,2,15,1,6,0,0,caught,29,338,131
598011,2,15,3,4,4,0,Not Applicable,338,237,131
598011,2,15,5,4,2,0,Not Applicable,338,237,131
